Date,Open,High,Low,Close,Adj Close,Volume,stock
2018-09-28,10.04,10.04,10.04,10.04,9.512137,0,FNILX.csv
2018-10-01,10.08,10.08,10.08,10.08,9.550034,0,FNILX.csv
2018-10-02,10.08,10.08,10.08,10.08,9.550034,0,FNILX.csv
2018-10-03,10.09,10.09,10.09,10.09,9.55951,0,FNILX.csv
2018-10-04,10.0,10.0,10.0,10.0,9.474241,0,FNILX.csv
2018-10-05,9.95,9.95,9.95,9.95,9.42687,0,FNILX.csv
2018-10-08,9.94,9.94,9.94,9.94,9.417395,0,FNILX.csv
2018-10-09,9.93,9.93,9.93,9.93,9.407922,0,FNILX.csv
2018-10-10,9.6,9.6,9.6,9.6,9.095271,0,FNILX.csv
2018-10-11,9.4,9.4,9.4,9.4,8.905785,0,FNILX.csv
2018-10-12,9.54,9.54,9.54,9.54,9.038425,0,FNILX.csv
2018-10-15,9.48,9.48,9.48,9.48,8.98158,0,FNILX.csv
2018-10-16,9.69,9.69,9.69,9.69,9.180538,0,FNILX.csv
2018-10-17,9.69,9.69,9.69,9.69,9.180538,0,FNILX.csv
2018-10-18,9.54,9.54,9.54,9.54,9.038425,0,FNILX.csv
2018-10-19,9.54,9.54,9.54,9.54,9.038425,0,FNILX.csv
2018-10-22,9.5,9.5,9.5,9.5,9.000529,0,FNILX.csv
2018-10-23,9.45,9.45,9.45,9.45,8.953157,0,FNILX.csv
2018-10-24,9.15,9.15,9.15,9.15,8.668929,0,FNILX.csv
2018-10-25,9.32,9.32,9.32,9.32,8.829991,0,FNILX.csv
2018-10-26,9.16,9.16,9.16,9.16,8.678405,0,FNILX.csv
2018-10-29,9.1,9.1,9.1,9.1,8.621559,0,FNILX.csv
2018-10-30,9.24,9.24,9.24,9.24,8.754198,0,FNILX.csv
2018-10-31,9.35,9.35,9.35,9.35,8.858417,0,FNILX.csv
2018-11-01,9.46,9.46,9.46,9.46,8.962631,0,FNILX.csv
2018-11-02,9.39,9.39,9.39,9.39,8.896313,0,FNILX.csv
2018-11-05,9.44,9.44,9.44,9.44,8.943683,0,FNILX.csv
2018-11-06,9.5,9.5,9.5,9.5,9.000529,0,FNILX.csv
2018-11-07,9.7,9.7,9.7,9.7,9.190013,0,FNILX.csv
2018-11-08,9.68,9.68,9.68,9.68,9.171065,0,FNILX.csv
2018-11-09,9.59,9.59,9.59,9.59,9.085797,0,FNILX.csv
2018-11-12,9.4,9.4,9.4,9.4,8.905785,0,FNILX.csv
2018-11-13,9.39,9.39,9.39,9.39,8.896313,0,FNILX.csv
2018-11-14,9.32,9.32,9.32,9.32,8.829991,0,FNILX.csv
2018-11-15,9.42,9.42,9.42,9.42,8.924735,0,FNILX.csv
2018-11-16,9.44,9.44,9.44,9.44,8.943683,0,FNILX.csv
2018-11-19,9.28,9.28,9.28,9.28,8.792095,0,FNILX.csv
2018-11-20,9.11,9.11,9.11,9.11,8.631033,0,FNILX.csv
2018-11-21,9.14,9.14,9.14,9.14,8.659457,0,FNILX.csv
2018-11-23,9.08,9.08,9.08,9.08,8.60261,0,FNILX.csv
2018-11-26,9.23,9.23,9.23,9.23,8.744722,0,FNILX.csv
2018-11-27,9.26,9.26,9.26,9.26,8.773147,0,FNILX.csv
2018-11-28,9.47,9.47,9.47,9.47,8.972107,0,FNILX.csv
2018-11-29,9.45,9.45,9.45,9.45,8.953157,0,FNILX.csv
2018-11-30,9.53,9.53,9.53,9.53,9.028951,0,FNILX.csv
2018-12-03,9.64,9.64,9.64,9.64,9.133168,0,FNILX.csv
2018-12-04,9.33,9.33,9.33,9.33,8.839467,0,FNILX.csv
2018-12-06,9.32,9.32,9.32,9.32,8.829991,0,FNILX.csv
2018-12-07,9.1,9.1,9.1,9.1,8.621559,0,FNILX.csv
2018-12-10,9.11,9.11,9.11,9.11,8.631033,0,FNILX.csv
2018-12-11,9.11,9.11,9.11,9.11,8.631033,0,FNILX.csv
2018-12-12,9.16,9.16,9.16,9.16,8.678405,0,FNILX.csv
2018-12-13,9.16,9.16,9.16,9.16,8.678405,0,FNILX.csv
2018-12-14,8.95,8.95,8.95,8.95,8.51197,0,FNILX.csv
2018-12-17,8.77,8.77,8.77,8.77,8.340779,0,FNILX.csv
2018-12-18,8.77,8.77,8.77,8.77,8.340779,0,FNILX.csv
2018-12-19,8.63,8.63,8.63,8.63,8.207631,0,FNILX.csv
2018-12-20,8.5,8.5,8.5,8.5,8.083994,0,FNILX.csv
2018-12-21,8.32,8.32,8.32,8.32,7.912802,0,FNILX.csv
2018-12-24,8.09,8.09,8.09,8.09,7.69406,0,FNILX.csv
2018-12-26,8.5,8.5,8.5,8.5,8.083994,0,FNILX.csv
2018-12-27,8.57,8.57,8.57,8.57,8.150566,0,FNILX.csv
2018-12-28,8.56,8.56,8.56,8.56,8.15152,0,FNILX.csv
2018-12-31,8.63,8.63,8.63,8.63,8.218179,0,FNILX.csv
2019-01-02,8.63,8.63,8.63,8.63,8.218179,0,FNILX.csv
2019-01-03,8.43,8.43,8.43,8.43,8.027723,0,FNILX.csv
2019-01-04,8.72,8.72,8.72,8.72,8.303885,0,FNILX.csv
2019-01-07,8.78,8.78,8.78,8.78,8.361021,0,FNILX.csv
2019-01-08,8.86,8.86,8.86,8.86,8.437203,0,FNILX.csv
2019-01-09,8.91,8.91,8.91,8.91,8.484818,0,FNILX.csv
2019-01-10,8.95,8.95,8.95,8.95,8.522908,0,FNILX.csv
2019-01-11,8.94,8.94,8.94,8.94,8.513385,0,FNILX.csv
2019-01-14,8.9,8.9,8.9,8.9,8.475295,0,FNILX.csv
2019-01-15,8.99,8.99,8.99,8.99,8.561001,0,FNILX.csv
2019-01-16,9.01,9.01,9.01,9.01,8.580047,0,FNILX.csv
2019-01-17,9.08,9.08,9.08,9.08,8.646705,0,FNILX.csv
2019-01-18,9.2,9.2,9.2,9.2,8.760979,0,FNILX.csv
2019-01-22,9.07,9.07,9.07,9.07,8.637181,0,FNILX.csv
2019-01-23,9.09,9.09,9.09,9.09,8.656228,0,FNILX.csv
2019-01-24,9.1,9.1,9.1,9.1,8.665751,0,FNILX.csv
2019-01-25,9.19,9.19,9.19,9.19,8.751455,0,FNILX.csv
2019-01-28,9.11,9.11,9.11,9.11,8.675274,0,FNILX.csv
2019-01-29,9.1,9.1,9.1,9.1,8.665751,0,FNILX.csv
2019-01-30,9.24,9.24,9.24,9.24,8.79907,0,FNILX.csv
2019-01-31,9.33,9.33,9.33,9.33,8.884775,0,FNILX.csv
2019-02-01,9.34,9.34,9.34,9.34,8.894299,0,FNILX.csv
2019-02-04,9.4,9.4,9.4,9.4,8.951434,0,FNILX.csv
2019-02-05,9.45,9.45,9.45,9.45,8.999048,0,FNILX.csv
2019-02-06,9.43,9.43,9.43,9.43,8.980003,0,FNILX.csv
2019-02-07,9.34,9.34,9.34,9.34,8.894299,0,FNILX.csv
2019-02-08,9.35,9.35,9.35,9.35,8.903821,0,FNILX.csv
2019-02-11,9.36,9.36,9.36,9.36,8.913343,0,FNILX.csv
2019-02-12,9.48,9.48,9.48,9.48,9.027617,0,FNILX.csv
2019-02-13,9.51,9.51,9.51,9.51,9.056187,0,FNILX.csv
2019-02-14,9.48,9.48,9.48,9.48,9.027617,0,FNILX.csv
2019-02-15,9.59,9.59,9.59,9.59,9.132367,0,FNILX.csv
2019-02-19,9.6,9.6,9.6,9.6,9.141891,0,FNILX.csv
2019-02-20,9.62,9.62,9.62,9.62,9.160936,0,FNILX.csv
2019-02-21,9.59,9.59,9.59,9.59,9.132367,0,FNILX.csv
2019-02-22,9.65,9.65,9.65,9.65,9.189506,0,FNILX.csv
2019-02-25,9.66,9.66,9.66,9.66,9.199028,0,FNILX.csv
2019-02-26,9.66,9.66,9.66,9.66,9.199028,0,FNILX.csv
2019-02-27,9.66,9.66,9.66,9.66,9.199028,0,FNILX.csv
2019-02-28,9.63,9.63,9.63,9.63,9.17046,0,FNILX.csv
2019-03-01,9.7,9.7,9.7,9.7,9.237119,0,FNILX.csv
2019-03-04,9.65,9.65,9.65,9.65,9.189506,0,FNILX.csv
2019-03-05,9.64,9.64,9.64,9.64,9.179982,0,FNILX.csv
2019-03-06,9.58,9.58,9.58,9.58,9.122845,0,FNILX.csv
2019-03-07,9.51,9.51,9.51,9.51,9.056187,0,FNILX.csv
2019-03-08,9.49,9.49,9.49,9.49,9.037141,0,FNILX.csv
2019-03-11,9.63,9.63,9.63,9.63,9.17046,0,FNILX.csv
2019-03-12,9.66,9.66,9.66,9.66,9.199028,0,FNILX.csv
2019-03-13,9.73,9.73,9.73,9.73,9.265687,0,FNILX.csv
2019-03-14,9.72,9.72,9.72,9.72,9.256166,0,FNILX.csv
2019-03-15,9.77,9.77,9.77,9.77,9.303779,0,FNILX.csv
2019-03-18,9.81,9.81,9.81,9.81,9.341869,0,FNILX.csv
2019-03-19,9.8,9.8,9.8,9.8,9.332347,0,FNILX.csv
2019-03-20,9.78,9.78,9.78,9.78,9.3133,0,FNILX.csv
2019-03-21,9.89,9.89,9.89,9.89,9.418053,0,FNILX.csv
2019-03-22,9.7,9.7,9.7,9.7,9.237119,0,FNILX.csv
2019-03-25,9.69,9.69,9.69,9.69,9.227595,0,FNILX.csv
2019-03-26,9.76,9.76,9.76,9.76,9.294256,0,FNILX.csv
2019-03-27,9.71,9.71,9.71,9.71,9.246641,0,FNILX.csv
2019-03-28,9.75,9.75,9.75,9.75,9.284734,0,FNILX.csv
2019-03-29,9.81,9.81,9.81,9.81,9.341869,0,FNILX.csv
2019-04-01,9.93,9.93,9.93,9.93,9.456143,0,FNILX.csv
2019-04-02,9.93,9.93,9.93,9.93,9.456143,0,FNILX.csv
2019-04-03,9.95,9.95,9.95,9.95,9.475188,0,FNILX.csv
2019-04-04,9.97,9.97,9.97,9.97,9.494235,0,FNILX.csv
2019-04-05,10.01,10.01,10.01,10.01,9.532327,0,FNILX.csv
2019-04-08,10.03,10.03,10.03,10.03,9.551372,0,FNILX.csv
2019-04-09,9.97,9.97,9.97,9.97,9.494235,0,FNILX.csv
2019-04-10,10.01,10.01,10.01,10.01,9.532327,0,FNILX.csv
2019-04-11,10.01,10.01,10.01,10.01,9.532327,0,FNILX.csv
2019-04-12,10.07,10.07,10.07,10.07,9.589462,0,FNILX.csv
2019-04-15,10.07,10.07,10.07,10.07,9.589462,0,FNILX.csv
2019-04-16,10.07,10.07,10.07,10.07,9.589462,0,FNILX.csv
2019-04-17,10.05,10.05,10.05,10.05,9.570417,0,FNILX.csv
2019-04-18,10.06,10.06,10.06,10.06,9.57994,0,FNILX.csv
2019-04-22,10.08,10.08,10.08,10.08,9.598985,0,FNILX.csv
2019-04-23,10.17,10.17,10.17,10.17,9.684691,0,FNILX.csv
2019-04-24,10.14,10.14,10.14,10.14,9.656122,0,FNILX.csv
2019-04-25,10.14,10.14,10.14,10.14,9.656122,0,FNILX.csv
2019-04-26,10.19,10.19,10.19,10.19,9.703735,0,FNILX.csv
2019-04-29,10.2,10.2,10.2,10.2,9.713259,0,FNILX.csv
2019-04-30,10.21,10.21,10.21,10.21,9.722782,0,FNILX.csv
2019-05-01,10.14,10.14,10.14,10.14,9.656122,0,FNILX.csv
2019-05-02,10.12,10.12,10.12,10.12,9.637076,0,FNILX.csv
2019-05-03,10.22,10.22,10.22,10.22,9.732306,0,FNILX.csv
2019-05-06,10.17,10.17,10.17,10.17,9.684691,0,FNILX.csv
2019-05-07,10.0,10.0,10.0,10.0,9.522803,0,FNILX.csv
2019-05-08,9.99,9.99,9.99,9.99,9.51328,0,FNILX.csv
2019-05-09,9.96,9.96,9.96,9.96,9.484712,0,FNILX.csv
2019-05-10,10.0,10.0,10.0,10.0,9.522803,0,FNILX.csv
2019-05-13,9.76,9.76,9.76,9.76,9.294256,0,FNILX.csv
2019-05-14,9.84,9.84,9.84,9.84,9.37044,0,FNILX.csv
2019-05-15,9.9,9.9,9.9,9.9,9.427574,0,FNILX.csv
2019-05-16,10.0,10.0,10.0,10.0,9.522803,0,FNILX.csv
2019-05-17,9.94,9.94,9.94,9.94,9.465666,0,FNILX.csv
2019-05-20,9.87,9.87,9.87,9.87,9.399007,0,FNILX.csv
2019-05-21,9.95,9.95,9.95,9.95,9.475188,0,FNILX.csv
2019-05-22,9.93,9.93,9.93,9.93,9.456143,0,FNILX.csv
2019-05-23,9.81,9.81,9.81,9.81,9.341869,0,FNILX.csv
2019-05-24,9.82,9.82,9.82,9.82,9.351393,0,FNILX.csv
2019-05-28,9.74,9.74,9.74,9.74,9.27521,0,FNILX.csv
2019-05-29,9.67,9.67,9.67,9.67,9.20855,0,FNILX.csv
2019-05-30,9.7,9.7,9.7,9.7,9.237119,0,FNILX.csv
2019-05-31,9.57,9.57,9.57,9.57,9.113321,0,FNILX.csv
2019-06-03,9.54,9.54,9.54,9.54,9.084755,0,FNILX.csv
2019-06-04,9.75,9.75,9.75,9.75,9.284734,0,FNILX.csv
2019-06-05,9.83,9.83,9.83,9.83,9.360915,0,FNILX.csv
2019-06-06,9.89,9.89,9.89,9.89,9.418053,0,FNILX.csv
2019-06-07,10.0,10.0,10.0,10.0,9.522803,0,FNILX.csv
2019-06-10,10.05,10.05,10.05,10.05,9.570417,0,FNILX.csv
2019-06-11,10.04,10.04,10.04,10.04,9.560894,0,FNILX.csv
2019-06-12,10.02,10.02,10.02,10.02,9.541849,0,FNILX.csv
2019-06-13,10.07,10.07,10.07,10.07,9.589462,0,FNILX.csv
2019-06-14,10.05,10.05,10.05,10.05,9.570417,0,FNILX.csv
2019-06-17,10.06,10.06,10.06,10.06,9.57994,0,FNILX.csv
2019-06-18,10.16,10.16,10.16,10.16,9.675168,0,FNILX.csv
2019-06-19,10.19,10.19,10.19,10.19,9.703735,0,FNILX.csv
2019-06-20,10.29,10.29,10.29,10.29,9.798964,0,FNILX.csv
2019-06-21,10.27,10.27,10.27,10.27,9.77992,0,FNILX.csv
2019-06-24,10.26,10.26,10.26,10.26,9.770396,0,FNILX.csv
2019-06-25,10.16,10.16,10.16,10.16,9.675168,0,FNILX.csv
2019-06-26,10.14,10.14,10.14,10.14,9.656122,0,FNILX.csv
2019-06-27,10.18,10.18,10.18,10.18,9.694214,0,FNILX.csv
2019-06-28,10.24,10.24,10.24,10.24,9.75135,0,FNILX.csv
2019-07-01,10.33,10.33,10.33,10.33,9.837056,0,FNILX.csv
2019-07-02,10.36,10.36,10.36,10.36,9.865624,0,FNILX.csv
2019-07-03,10.44,10.44,10.44,10.44,9.941805,0,FNILX.csv
2019-07-05,10.42,10.42,10.42,10.42,9.92276,0,FNILX.csv
2019-07-08,10.37,10.37,10.37,10.37,9.875147,0,FNILX.csv
2019-07-09,10.39,10.39,10.39,10.39,9.894193,0,FNILX.csv
2019-07-10,10.44,10.44,10.44,10.44,9.941805,0,FNILX.csv
2019-07-11,10.46,10.46,10.46,10.46,9.960853,0,FNILX.csv
